Latitude,Longitude,Start date,End date,Duration,Elevation
52.2780997,20.8091856,2023-11-05T09:16:00.0000000+01:00,2023-11-05T09:17:28.0000000+01:00,00:01:28,78
52.2780997,20.8091856,2023-11-05T09:38:37.0000000+01:00,2023-11-05T09:39:36.0000000+01:00,00:00:59,58
52.2780997,20.8091856,2023-11-05T12:12:00.0000000+01:00,2023-11-05T12:13:17.0000000+01:00,00:01:17,67
52.2780997,20.8091856,2023-11-05T12:32:49.0000000+01:00,2023-11-05T12:34:16.0000000+01:00,00:01:27,73
52.2780997,20.8091856,2023-11-05T14:40:18.0000000+01:00,2023-11-05T14:40:49.0000000+01:00,00:00:31,55
52.2780997,20.8091856,2023-11-05T15:11:57.0000000+01:00,2023-11-05T15:13:16.0000000+01:00,00:01:19,67
52.2780997,20.8091856,2023-11-05T19:59:34.0000000+01:00,2023-11-05T20:01:05.0000000+01:00,00:01:31,81
52.2780997,20.8091856,2023-11-05T20:22:28.0000000+01:00,2023-11-05T20:23:05.0000000+01:00,00:00:37,56
52.2780997,20.8091856,2023-11-05T22:53:09.0000000+01:00,2023-11-05T22:54:26.0000000+01:00,00:01:17,67
52.2780997,20.8091856,2023-11-05T23:13:53.0000000+01:00,2023-11-05T23:15:19.0000000+01:00,00:01:26,73
52.2780997,20.8091856,2023-11-06T01:22:49.0000000+01:00,2023-11-06T01:23:47.0000000+01:00,00:00:58,60
52.2780997,20.8091856,2023-11-06T01:54:55.0000000+01:00,2023-11-06T01:55:53.0000000+01:00,00:00:58,62
52.2780997,20.8091856,2023-11-06T09:18:56.0000000+01:00,2023-11-06T09:20:38.0000000+01:00,00:01:42,85
52.2780997,20.8091856,2023-11-06T09:41:29.0000000+01:00,2023-11-06T09:42:06.0000000+01:00,00:00:37,56
52.2780997,20.8091856,2023-11-06T12:08:13.0000000+01:00,2023-11-06T12:09:12.0000000+01:00,00:00:59,58
52.2780997,20.8091856,2023-11-06T12:29:54.0000000+01:00,2023-11-06T12:31:20.0000000+01:00,00:01:26,78
52.2780997,20.8091856,2023-11-06T12:41:44.0000000+01:00,2023-11-06T12:42:42.0000000+01:00,00:00:58,57
52.2780997,20.8091856,2023-11-06T14:50:41.0000000+01:00,2023-11-06T14:52:08.0000000+01:00,00:01:27,70
52.2780997,20.8091856,2023-11-06T15:22:36.0000000+01:00,2023-11-06T15:22:49.0000000+01:00,00:00:13,52
52.2780997,20.8091856,2023-11-06T20:02:29.0000000+01:00,2023-11-06T20:04:10.0000000+01:00,00:01:41,88
52.2780997,20.8091856,2023-11-06T20:25:05.0000000+01:00,2023-11-06T20:25:27.0000000+01:00,00:00:22,54
52.2780997,20.8091856,2023-11-06T22:49:18.0000000+01:00,2023-11-06T22:50:14.0000000+01:00,00:00:56,59
52.2780997,20.8091856,2023-11-06T23:10:56.0000000+01:00,2023-11-06T23:12:23.0000000+01:00,00:01:27,78
52.2780997,20.8091856,2023-11-06T23:22:28.0000000+01:00,2023-11-06T23:23:27.0000000+01:00,00:00:59,58
52.2780997,20.8091856,2023-11-07T01:33:23.0000000+01:00,2023-11-07T01:34:50.0000000+01:00,00:01:27,76
52.2780997,20.8091856,2023-11-07T09:00:28.0000000+01:00,2023-11-07T09:00:37.0000000+01:00,00:00:09,52
52.2780997,20.8091856,2023-11-07T09:21:37.0000000+01:00,2023-11-07T09:23:18.0000000+01:00,00:01:41,89
52.2780997,20.8091856,2023-11-07T09:45:57.0000000+01:00,2023-11-07T09:46:10.0000000+01:00,00:00:13,53
52.2780997,20.8091856,2023-11-07T12:05:25.0000000+01:00,2023-11-07T12:05:57.0000000+01:00,00:00:32,54
52.2780997,20.8091856,2023-11-07T12:15:57.0000000+01:00,2023-11-07T12:17:24.0000000+01:00,00:01:27,73
52.2780997,20.8091856,2023-11-07T19:43:45.0000000+01:00,2023-11-07T19:44:08.0000000+01:00,00:00:23,55
52.2780997,20.8091856,2023-11-07T20:05:13.0000000+01:00,2023-11-07T20:06:55.0000000+01:00,00:01:42,87
